Event,Athlete,Year,Mark/Time,Wind,Meet,Date
100 Meters,"Giampa, Jackson",SO-2,10.71,3.1,Midwest Twilight Final Qualifier,"May 14, 2025"
100 Meters,"Giampa, Jackson",SO-2,10.80,2.0,St. Francis Fighting Chance Invite,"May 9, 2025"
100 Meters,"Asare, Jason",SR-4,10.88,1.9,St. Francis Fighting Chance Invite,"May 9, 2025"
100 Meters,"Seshadri, Vikram",JR-3,10.90,1.8,Wheaton 'Don Church' Twilight 2025,"Apr 17, 2025"
100 Meters,"Lui, John",FR-1,10.92,2.1,Midwest Twilight Final Qualifier,"May 14, 2025"
100 Meters,"Giampa, Jackson",SO-2,10.92,1.2,Wheaton 'Don Church' Twilight 2025,"Apr 17, 2025"
100 Meters,"Asare, Jason",SR-4,10.92,3.1,Midwest Twilight Final Qualifier,"May 14, 2025"
100 Meters,"Giampa, Jackson",SO-2,10.94,1.8,UAA Outdoor Conference Championships,"Apr 26, 2025"
100 Meters,"Lui, John",FR-1,10.96,1.9,St. Francis Fighting Chance Invite,"May 9, 2025"
100 Meters,"Xavier, Myles",SR-4,10.99,2.1,Midwest Twilight Final Qualifier,"May 14, 2025"
100 Meters,"Xavier, Myles",SR-4,11.04,2.1,St. Francis Fighting Chance Invite,"May 9, 2025"
100 Meters,"Seshadri, Vikram",JR-3,11.05,1.1,Midwest Twilight Final Qualifier,"May 14, 2025"
100 Meters,"Seshadri, Vikram",JR-3,11.05,2.7,St. Francis Fighting Chance Invite,"May 9, 2025"
100 Meters,"Seshadri, Vikram",JR-3,11.07,2.2,UAA Outdoor Conference Championships,"Apr 26, 2025"
100 Meters,"Lui, John",FR-1,11.08,1.5,Wheaton 'Don Church' Twilight 2025,"Apr 17, 2025"
100 Meters,"Giampa, Jackson",SO-2,11.08,2.1,UAA Outdoor Conference Championships,"Apr 26, 2025"
100 Meters,"Asare, Jason",SR-4,11.10,1.2,Wheaton 'Don Church' Twilight 2025,"Apr 17, 2025"
100 Meters,"Lui, John",FR-1,11.13,2.2,UAA Outdoor Conference Championships,"Apr 26, 2025"
100 Meters,"Seshadri, Vikram",JR-3,11.19,1.7,Wheaton Invitational 2025,"Apr 12, 2025"
100 Meters,"Asare, Jason",SR-4,11.20,1.8,UAA Outdoor Conference Championships,"Apr 26, 2025"
100 Meters,"Asare, Jason",SR-4,11.25,0.8,Wheaton Invitational 2025,"Apr 12, 2025"
100 Meters,"Xavier, Myles",SR-4,11.26,1.8,Wheaton 'Don Church' Twilight 2025,"Apr 17, 2025"
100 Meters,"Asare, Jason",SR-4,11.30,0.8,Wash U Invite,"Mar 28, 2025"
100 Meters,"Lui, John",FR-1,11.31,0.8,Wash U Invite,"Mar 28, 2025"
100 Meters,"Giampa, Jackson",SO-2,11.34,1.3,Wash U Invite,"Mar 28, 2025"
100 Meters,"Montbach, Zach",FR-1,11.52,0.2,Wheaton Invitational 2025,"Apr 12, 2025"
